Module Code,Module Name,Lvl,Module Coordinator,MAB,Attendance Group,Credits,Artefact Type,Weight,Length,Method of Assessment,Assessment Date,Assessment Week,Valid Deadline Check,Additional Details
M30202,NETWORK SERVERS AND SERVICES,FHEQ 5,Linda Yang,1. TB1 MAB,SMSEP,20,Item 2 - Written Exam (EX),0.4,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",19/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M30233,OPERATING SYSTEMS AND INTERNETWORKING,FHEQ 5,Tamer Elboghdadly,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.3,1500 Words,Other,15/12/2023,TB1 Teaching (20),,6 Quiz during the term
M30233,OPERATING SYSTEMS AND INTERNETWORKING,FHEQ 5,Tamer Elboghdadly,1. TB1 MAB,SMSEP,20,Item 2 - Written Exam (EX),0.7,90 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",09/01/2024,TB1 Exam Period (24),jan exams week 1,
M21278,ADVANCED DATABASE CONCEPTS,FHEQ 6,Valentin Adamescu,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.4,2000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",17/11/2023,TB1 Teaching (16),,
M21278,ADVANCED DATABASE CONCEPTS,FHEQ 6,Valentin Adamescu,1. TB1 MAB,SMSEP,20,Item 2 - Written assignment including essay (CW),0.3,1000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",15/12/2023,TB1 Teaching (20),,
M21278,ADVANCED DATABASE CONCEPTS,FHEQ 6,Valentin Adamescu,1. TB1 MAB,SMSEP,20,Item 3 - Set exercise (practical) (CW),0.3,1000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",15/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,They need to complete all the labs. Is no exam scheduled for this module.
M22389,ADVANCED DATABASE CONCEPTS (DL),FHEQ 6,Petronella Beukman,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),1,4000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",10/01/2024,TB1 Exam Period (24),jan exams week 1,
M21279,ADVANCED NETWORKS,FHEQ 6,Asim Ali,1. TB1 MAB,SMSEP,20,Item 1 - Written Exam (EX),0.6,90 Minutes,On Campus Paper Exam,17/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M21279,ADVANCED NETWORKS,FHEQ 6,Asim Ali,1. TB1 MAB,SMSEP,20,Item 2 - Report (CW),0.4,1500 Words,"Moodle Assignment (group submission, with Turnitin checks)",15/12/2023,TB1 Teaching (20),,
M21804,ADVANCED SYSTEMS ANALYSIS,FHEQ 6,Peter Bednar,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),1,4000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",08/01/2024,TB1 Exam Period (24),jan exams week 1,individual
M33174,ARTIFICIAL INTELLIGENCE,FHEQ 6,Ioannis kagalidis,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",19/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,individual
M33174,ARTIFICIAL INTELLIGENCE,FHEQ 6,Ioannis kagalidis,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (exam) (EX),0.5,90 Minutes,LAB/Practical,11/01/2024,TB1 Exam Period (24),jan exams week 1,
M33132,COMPLEX PROBLEM SOLVING,FHEQ 6,Gail Ollis,1. TB1 MAB,SMSEP,20,Item 1 - Report (CW),0.5,2 Pages,"Moodle Assignment (group submission, without Turnitin checks)",15/12/2023,TB1 Teaching (20),,Group
M33132,COMPLEX PROBLEM SOLVING,FHEQ 6,Gail Ollis,1. TB1 MAB,SMSEP,20,Item 2 - Oral assessment and presentation (CW),0.2,10 Minutes,"Moodle Assignment (group submission, without Turnitin checks)",11/12/2023,TB1 Teaching (20),,Group
M33132,COMPLEX PROBLEM SOLVING,FHEQ 6,Gail Ollis,1. TB1 MAB,SMSEP,20,Item 3 - Report (CW),0.3,1500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",17/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,Individual
M22357,FINAL YEAR MAJOR PROJECT,FHEQ 6,Alice Good,1. TB1 MAB,SMYEAR (Y2),40,Item 1 - Dissertation (CW),1,10000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",22/01/2024,TB2 Teaching (26),,Individual
M30242,GRAPHICS AND COMPUTER VISION,FHEQ 6,Jiacheng Tan,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",15/12/2023,TB1 Teaching (20),,
M30242,GRAPHICS AND COMPUTER VISION,FHEQ 6,Jiacheng Tan,1. TB1 MAB,SMSEP,20,Item 2 - Written Exam (EX),0.5,90 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",09/01/2024,TB1 Exam Period (24),jan exams week 1,
M23524,MALWARE FORENSICS,FHEQ 6,Julian Murphy,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",08/12/2023,TB1 Teaching (19),,Individual - They upload two files.
M23524,MALWARE FORENSICS,FHEQ 6,Julian Murphy,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (exam) (EX),0.5,90 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",09/01/2024,TB1 Exam Period (24),jan exams week 1,
M33143,NETWORK DESIGN AND ISP SOLUTIONS,FHEQ 6,Shikun Zhou,1. TB1 MAB,SMSEP,20,Item 1 - Report (CW),0.6,3000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",18/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M33143,NETWORK DESIGN AND ISP SOLUTIONS,FHEQ 6,Shikun Zhou,1. TB1 MAB,SMSEP,20,Item 2 - Written exam (EX),0.4,1 Hours,On Campus Paper Exam,08/01/2024,TB1 Exam Period (24),jan exams week 1,
M26487,OPEN INNOVATIONS IN DATA SCIENCE,FHEQ 6,Rahim Taheri,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.6,2000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",01/12/2023,TB1 Teaching (18),,
M26487,OPEN INNOVATIONS IN DATA SCIENCE,FHEQ 6,Rahim Taheri,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (coursework) (CW),0.4,1000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",15/12/2023,TB1 Teaching (20),,
M25764,PRACTICAL DATA ANALYTICS AND MINING,FHEQ 6,Mohamed Bader,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.4,1500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",10/11/2023,TB1 Teaching (15),,Individual
M25764,PRACTICAL DATA ANALYTICS AND MINING,FHEQ 6,Mohamed Bader,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (coursework) (CW),0.6,2500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",08/01/2024,TB1 Exam Period (24),jan exams week 1,Individual
M22376,PROJECT MANAGEMENT (DL),FHEQ 6,Penny Hart,1. TB1 MAB,SMSEP,20,Item 1 - Portfolio (CW),0.3,1200 Words,"Moodle Assignment (individual submission, with Turnitin checks)",16/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,Group / Individual
M22376,PROJECT MANAGEMENT (DL),FHEQ 6,Penny Hart,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (coursework) (CW),0.7,2800 Words,"Moodle Assignment (group submission, with Turnitin checks)",17/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,Individual
M30241,ROBOTICS,FHEQ 6,Zhaojie Ju,1. TB1 MAB,SMSEP,20,Item 1 - Report (CW),1,4000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",15/12/2023,TB1 Teaching (20),,
M25160,SECURITY MANAGEMENT,FHEQ 6,David Williams,1. TB1 MAB,SMSEP,20,Item 1 - Report (CW),0.5,2000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",21/11/2023,TB1 Teaching (17),,Individual
M25160,SECURITY MANAGEMENT,FHEQ 6,David Williams,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (exam) (EX),0.5,90 Minutes,On Campus Paper Exam,11/01/2024,TB1 Exam Period (24),jan exams week 1,Individual
M21276,THEORETICAL COMPUTER SCIENCE,FHEQ 6,Janka Chlebikova,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (exam) (EX),0.5,90 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",15/11/2023,TB1 Teaching (16),ICT,
M21276,THEORETICAL COMPUTER SCIENCE,FHEQ 6,Janka Chlebikova,1. TB1 MAB,SMSEP,20,Item 2 - Written exam (EX),0.5,90 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",15/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M33515,AI FOUNDATIONS IN PRACTICE,FHEQ 7,Gelayol Golcarenarenji,1. TB1 MAB,SMSEP,15,Item 1 - Set exercise (coursework) (CW),1,3000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",11/01/2024,TB1 Exam Period (24),jan exams week 1,
M32015,APPLIED DATA AND TEXT ANALYTICS,FHEQ 7,Ella Haig,1. TB1 MAB,SMSEP,20,Item 1 - Set exercise (coursework) (CW),0.5,1500 Words,"Moodle Assignment (individual submission, without Turnitin checks)",20/11/2023,TB1 Teaching (17),,Taught to SMAP Students
M32015,APPLIED DATA AND TEXT ANALYTICS,FHEQ 7,Ella Haig,1. TB1 MAB,SMSEP,20,Item 2 - Set exercise (coursework) (CW),0.5,1500 Words,"Moodle Assignment (individual submission, without Turnitin checks)",10/01/2024,TB1 Exam Period (24),jan exams week 1,Taught to SMAP Students
M22434,COMPUTER FORENSIC INVESTIGATION AND CRYPTOGRAPHY,FHEQ 7,Mo Adda,1. TB1 MAB,SMSEP,30,Item 1 - Report (CW),0.3,1500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",17/11/2023,TB1 Teaching (16),,Individual
M22434,COMPUTER FORENSIC INVESTIGATION AND CRYPTOGRAPHY,FHEQ 7,Mo Adda,1. TB1 MAB,SMSEP,30,Item 2 - Report (CW),0.3,1500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",18/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,Court Sessions
M22434,COMPUTER FORENSIC INVESTIGATION AND CRYPTOGRAPHY,FHEQ 7,Mo Adda,1. TB1 MAB,SMSEP,30,Item 3 - Written assignment including essay (CW),0.4,4000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",12/12/2023,TB1 Teaching (20),,SWS Individual
M33149,DATA MANAGEMENT,FHEQ 7,Olumuyiwa Matthew,1. TB1 MAB,SMSEP,15,Item 1 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",10/11/2023,TB1 Teaching (15),,
M33149,DATA MANAGEMENT,FHEQ 7,Olumuyiwa Matthew,1. TB1 MAB,SMSEP,15,Item 2 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",19/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M30404,ENTERPRISE NETWORK DESIGN AND MANAGEMENT,FHEQ 7,Shikun Zhou,1. TB1 MAB,SMSEP,30,Item 1 - Set exercise (coursework) (CW),0.4,2500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",18/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M30404,ENTERPRISE NETWORK DESIGN AND MANAGEMENT,FHEQ 7,Shikun Zhou,1. TB1 MAB,SMSEP,30,Item 2 - Set exercise (coursework) (CW),0.6,3500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",18/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M30608,ICT CONFIGURATION & ADMINISTRATION,FHEQ 7,Vasileios Adamos,1. TB1 MAB,SMSEP,30,Item 1 - Written assignment including essay (CW),0.5,3000 Words,,15/12/2023,TB1 Teaching (20),,
M30608,ICT CONFIGURATION & ADMINISTRATION,FHEQ 7,Vasileios Adamos,1. TB1 MAB,SMSEP,30,Item 2 - Written Exam (EX),0.5,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",09/01/2024,TB1 Exam Period (24),jan exams week 1,
M33147,INTELLIGENT DATA AND TEXT ANALYTICS,FHEQ 7,Ella Haig,1. TB1 MAB,SMSEP,30,Item 1 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",20/11/2023,TB1 Teaching (17),,
M33147,INTELLIGENT DATA AND TEXT ANALYTICS,FHEQ 7,Ella Haig,1. TB1 MAB,SMSEP,30,Item 2 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",10/01/2024,TB1 Exam Period (24),jan exams week 1,
M30211,MANAGING INFORMATION SYSTEMS,FHEQ 7,Haythem Nakkas,1. TB1 MAB,SMSEP,30,Item 1 - Written exam (EX),0.6,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",22/11/2023,TB1 Teaching (17),ICT,
M30211,MANAGING INFORMATION SYSTEMS,FHEQ 7,Haythem Nakkas,1. TB1 MAB,SMSEP,30,Item 2 - Written assignment including essay (CW),0.4,1500 Words,"Moodle Assignment (group submission, with Turnitin checks)",19/01/2024,,jan exams week 2,
M31514,MOBILE FORENSICS: ISSUES AND PRACTICE,FHEQ 7,Mo Adda,1. TB1 MAB,SMSEP,30,Item 1 - Set exercise (exam) (EX),0.5,1 Hours,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",17/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M31514,MOBILE FORENSICS: ISSUES AND PRACTICE,FHEQ 7,Mo Adda,1. TB1 MAB,SMSEP,30,Item 2 - Set exercise (practical) (CW),0.5,3000 Words,LAB/Practical,11/12/2023,TB1 Teaching (20),,
M30248,PARALLEL PROGRAMMING,FHEQ 7,Hamidreza Khaleghzadeh,1. TB1 MAB,SMSEP,15,Item 1 - Report (CW),1,4000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",08/01/2024,TB1 Exam Period (24),jan exams week 1,
M33145,PROGRAMMING FOR DATA ANALYTICS AND AI,FHEQ 7,Atefeh Khazaei,1. TB1 MAB,SMSEP,15,Item 1 - Set exercise (coursework) (CW),1,4000 Words,"Moodle Assignment (individual submission, without Turnitin checks)",08/01/2024,TB1 Exam Period (24),jan exams week 1,
M33177,RESEARCH METHODS,FHEQ 7,Olumuyiwa Matthew,1. TB1 MAB,SMSEP,15,Item 1 - Set exercise (coursework) (CW),0.2,1000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",03/11/2023,TB1 Teaching (14),,
M33177,RESEARCH METHODS,FHEQ 7,Olumuyiwa Matthew,1. TB1 MAB,SMSEP,15,Item 2 - Set exercise (coursework) (CW),0.4,1500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",01/12/2023,TB1 Teaching (18),,
M33177,RESEARCH METHODS,FHEQ 7,Olumuyiwa Matthew,1. TB1 MAB,SMSEP,15,Item 3 - Set exercise (coursework) (CW),0.4,1500 Words,"Moodle Assignment (group submission, with Turnitin checks)",17/01/2024,TB1 - Directed Activity  / Induction (25),jan exams week 2,
M30207,USER EXPERIENCE DESIGN,FHEQ 7,John Cox,1. TB1 MAB,SMSEP,15,Item 1 - Set exercise (coursework) (CW),0.5,2000 Words,"Moodle Assignment (group submission, with Turnitin checks)",08/12/2023,TB1 Teaching (19),,30% Group and 20% Individual - 2 seperate dropboxes
M30207,USER EXPERIENCE DESIGN,FHEQ 7,John Cox,1. TB1 MAB,SMSEP,15,Item 2 - Set exercise (exam) (EX),0.5,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Standard Web Browser)",08/01/2024,TB1 Exam Period (24),jan exams week 1,
M33146,BIG DATA AND MACHINE LEARNING APPLICATIONS,FHEQ 7,Hamidreza Khaleghzadeh,2. PG June,SMJAN,30,Item 1 - Oral assessment and presentation (CW),0.2,10 Minutes,"Moodle Assignment (individual submission, without Turnitin checks)",20/05/2024,TB2 Exam Period (43),may exams pgrad,
M33146,BIG DATA AND MACHINE LEARNING APPLICATIONS,FHEQ 7,Hamidreza Khaleghzadeh,2. PG June,SMJAN,30,Item 2 - Portfolio (CW),0.8,4000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",20/05/2024,TB2 Exam Period (43),may exams pgrad,
M33150,BUSINESS INTELLIGENCE,FHEQ 7,Elisavet Andrikopoulou,2. PG June,SMJAN,15,Item 1 - Written assignment including essay (CW),0.6,2000 Words,Wiseflow Large File Submission (individual submission),20/03/2024,TB2 Teaching (34),,
M33150,BUSINESS INTELLIGENCE,FHEQ 7,Elisavet Andrikopoulou,2. PG June,SMJAN,15,Item 2 - Oral assessment and presentation (CW),0.4,10 Minutes,Wiseflow Large File Submission (group submission),09/05/2024,TB2 Teaching (41),,group work
M30607,CLOUD COMPUTING,FHEQ 7,Vasileios Adamos,2. PG June,SMJAN,30,Item 1 - Written assignment including essay (CW),0.5,3000 Words,,,,,
M30607,CLOUD COMPUTING,FHEQ 7,Vasileios Adamos,2. PG June,SMJAN,30,Item 2 - Written Exam (EX),0.5,60 Minutes,,22/05/2024,TB2 Exam Period (43),may exams pgrad,
M33142,CYBER SECURITY FOR INFORMATION SYSTEMS,FHEQ 7,Martin Sparrius,2. PG June,SMJAN,15,Item 1 - Report (CW),0.5,2000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",10/05/2024,TB2 Teaching (41),,
M33142,CYBER SECURITY FOR INFORMATION SYSTEMS,FHEQ 7,Martin Sparrius,2. PG June,SMJAN,15,Item 2 - Written exam (EX),0.5,1 Hours,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",20/05/2024,TB2 Exam Period (43),may exams pgrad,
M33148,DATA VISUALISATION AND EXPLORATORY ANALYTICS,FHEQ 7,Elisavet Andrikopoulou,2. PG June,SMJAN,15,Item 1 - Oral assessment and presentation (CW),0.5,15 Minutes,Wiseflow Large File Submission (individual submission),14/03/2024,TB2 Teaching (33),,
M33148,DATA VISUALISATION AND EXPLORATORY ANALYTICS,FHEQ 7,Elisavet Andrikopoulou,2. PG June,SMJAN,15,Item 2 - Oral assessment and presentation (CW),0.5,20 Minutes,Wiseflow Large File Submission (group submission),03/05/2024,TB2 Teaching (40),,group work
M30208,DATABASE MANAGEMENT,FHEQ 7,Olumuyiwa Matthew,2. PG June,SMJAN,15,Item 1 - Written assignment including essay (CW),0.4,1500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",01/03/2024,TB2 Teaching (31),,
M30208,DATABASE MANAGEMENT,FHEQ 7,Olumuyiwa Matthew,2. PG June,SMJAN,15,Item 2 - Set exercise (coursework) (CW),0.6,2500 Words,"Moodle Assignment (individual submission, without Turnitin checks)",10/05/2024,TB2 Teaching (41),,
M33516,EXPLAINABLE AI,FHEQ 7,Alex Gegov,2. PG June,SMJAN,15,Item 1 - Set exercise (coursework) (CW),1,3000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",24/05/2024,TB2 Exam Period (43),may exams pgrad,Individual Work
M32616,MASTERS PROJECT,FHEQ 7,Alice Good,2. PG June,PAJAN,60,Item 1 - Oral assessment and presentation (CW),0.1,20 Minutes,"Moodle Assignment (individual submission, without Turnitin checks)",20/05/2024,TB2 Exam Period (43),may exams pgrad,Individual Work
M32616,MASTERS PROJECT,FHEQ 7,Alice Good,2. PG June,PAJAN,60,Item 2 - Dissertation (CW),0.9,12000 Words,"Moodle Assignment (individual submission, with Turnitin checks)",24/05/2024,TB2 Exam Period (43),may exams pgrad,Individual Work
M33118,NETWORK SERVICES AND CYBER SECURITY,FHEQ 7,Shikun Zhou,2. PG June,SMJAN,30,Item 1 - Set exercise (coursework) (CW),0.3,2250 Words,"Moodle Assignment (individual submission, with Turnitin checks)",10/05/2024,TB2 Teaching (41),,
M33118,NETWORK SERVICES AND CYBER SECURITY,FHEQ 7,Shikun Zhou,2. PG June,SMJAN,30,Item 2 - Set exercise (coursework) (CW),0.3,2250 Words,"Moodle Assignment (individual submission, with Turnitin checks)",10/05/2024,TB2 Teaching (41),,
M33118,NETWORK SERVICES AND CYBER SECURITY,FHEQ 7,Shikun Zhou,2. PG June,SMJAN,30,Item 3 - Written exam (EX),0.4,90 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",03/06/2024,TB2 Exam Period (45),may exams pgrad,
M30062,"SYSTEMS, SECURITY AND HACKING",FHEQ 7,Oluwatobi Fajana,2. PG June,SMJAN,30,Item 1 - Set exercise (practical) (CW),0.5,2000 Words,"On Campus Computer Based Assessment (Moodle Quiz, Standard Web Browser)",13/03/2024,TB2 Teaching (33),,Practical Exam + Log submission
M30062,"SYSTEMS, SECURITY AND HACKING",FHEQ 7,Oluwatobi Fajana,2. PG June,SMJAN,30,Item 2 - Set exercise (practical) (CW),0.5,2000 Words,"On Campus Computer Based Assessment (Moodle Quiz, Standard Web Browser)",08/05/2024,TB2 Teaching (41),,Practical Exam
M30212,WEB PRODUCT DEVELOPMENT AND MANAGEMENT,FHEQ 7,Tamer Elboghdadly,2. PG June,SMJAN,30,Item 1 - Set exercise (coursework) (CW),0.5,3000 Words,"Moodle Assignment (group submission, with Turnitin checks)",14/03/2024,TB2 Teaching (33),,Group
M30212,WEB PRODUCT DEVELOPMENT AND MANAGEMENT,FHEQ 7,Tamer Elboghdadly,2. PG June,SMJAN,30,Item 2 - Set exercise (coursework) (CW),0.5,2500 Words,"Moodle Assignment (individual submission, with Turnitin checks)",09/05/2024,TB2 Teaching (41),,
M30943,ARCHITECTURE AND OPERATING SYSTEMS,FHEQ 4,Farzad Arabikhan,3. UG June,SMYEAR,20,Item 1 - Set exercise (exam) (EX),0.1,40 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",13/12/2023,TB1 Teaching (20),ICT,
M30943,ARCHITECTURE AND OPERATING SYSTEMS,FHEQ 4,Farzad Arabikhan,3. UG June,SMYEAR,20,Item 2 - Set exercise (exam) (EX),0.3,40 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",12/01/2024,TB1 Exam Period (24),jan exams week 1,
M30943,ARCHITECTURE AND OPERATING SYSTEMS,FHEQ 4,Farzad Arabikhan,3. UG June,SMYEAR,20,Item 3 - Set exercise (exam) (EX),0.2,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",17/05/2024,TB2 Exam Period (42),may exams ugrad,
M30943,ARCHITECTURE AND OPERATING SYSTEMS,FHEQ 4,Farzad Arabikhan,3. UG June,SMYEAR,20,Item 4 - Set exercise (exam) (EX),0.4,60 Minutes,"On Campus Computer Based Assessment (Moodle Quiz, Safe Exam Browser)",28/05/2024,TB2 Exam Period (44),may exams ugrad,
M30220,CORE COMPUTING CONCEPTS,FHEQ 4,Nadim Bakhshov,3. UG June,SMYEAR,20,Item 1 - Written assignment including essay (CW),0.3,1000 Words,,30/11/2023,TB1 Teaching (18),,
M30220,CORE COMPUTING CONCEPTS,FHEQ 4,Nadim Bakhshov,3. UG June,SMYEAR,20,Item 2 - Set exercise (exam) (EX),0.25,60 Minutes,,16/01/2024,TB1 - Directed Activity  / Induction (25),"jan exams week 2 L4,5",
M30220,CORE COMPUTING CONCEPTS,FHEQ 4,Nadim Bakhshov,3. UG June,SMYEAR,20,Item 3 - Set exercise (exam) (EX),0.45,60 Minutes,,21/05/2024,,,
M33193,CORE COMPUTING CONCEPTS FOR CYBER SECURITY,FHEQ 4,Nadim Bakhshov,3. UG June,SMYEAR,20,Item 1 - Written assignment including essay (CW),0.3,1000 Words,,30/11/2023,TB1 Teaching (18),,
